en_name,zh_name
promotes Lung Qi descent,促进肺气下降  
stops cough and wheezing,止咳平喘  
resolves phlegm and clears Lung Heat,化痰清肺热  
relieves chest fullness and upper back tension,缓解胸闷和上背紧张  
alleviates arm numbness and coldness due to cervical radiculopathy,缓解颈椎病引起的臂部麻木和寒冷  
reduces neck and shoulder stiffness,减轻颈肩僵硬  
clears Lung Heat,清肺热  
cools blood,凉血  
stops bleeding,止血  
treats cough,治疗咳嗽  
asthma,哮喘  
goitre,甲状腺肿  
dizziness,眩晕  
regulates head-body Qi and calms the mind,调节头身气机，镇静心神  
regulates Lung Qi and relieves cough and dyspnea,调节肺气，缓解咳嗽和呼吸困难  
helps with local arm pain and channel circulation,帮助局部手臂疼痛和经络循环  
clears Lung Heat and rebellious Qi,清肺热和逆气  
nourishes Lung Yin,滋养肺阴  
resolves phlegm-heat,化痰热  
helps with edema,帮助水肿  
diarrhea,腹泻  
elbow and back pain,肘部和背部疼痛  
clears heat,清热  
moistens the Lung,润肺  
acute cough,急性咳嗽  
sore throat,咽喉痛  
hemoptysis,咯血  
releases exterior wind,祛外风  
opens Lung channel,开通肺经  
promotes descending Qi,促进气机下降  
headaches,头痛  
facial paralysis,面瘫  
wrist pain,腕痛  
descends Lung Qi and alleviates cough and wheezing,降肺气，缓解咳嗽和喘息  
clears Lung channel and calms asthma,清肺经，平喘  
tonifies Lung Qi and Yin,补肺气和肺阴  
transforms phlegm,化痰  
major point for chronic cough,慢性咳嗽的主要穴位  
weak pulse,脉弱  
clears Lung heat and benefits the throat,清肺热，益咽喉  
treats sore throat,治疗咽喉痛  
fever,发热  
loss of voice,失音  
revives consciousness,恢复意识  
benefits throat,益咽喉  
used for sore throat,用于咽喉痛  
high fever,高热  
tonsillitis,扁桃体炎  
loss of consciousness,意识丧失  
reduces swelling,消肿  
febrile disease,发热病  
nosebleed,鼻出血  
benefits throat and teeth,益咽喉和牙齿  
used for gum pain,用于牙龈痛  
mouth ulcers,口腔溃疡  
dispels wind and heat,祛风清热  
useful for sore throat,适用于咽喉痛  
toothache,牙痛  
alleviates pain,缓解疼痛  
benefits the wrist,益腕部  
local wrist pain,局部腕痛  
expels wind and clears heat,祛风清热  
opens and regulates water passages,开通水道  
used for facial swelling,用于面部肿胀  
rhinitis,鼻炎  
detoxifies poison,解毒  
regulates intestines and stomach,调节肠胃  
treats facial paralysis,治疗面瘫  
boils,疖肿  
acute conditions,急性病症  
harmonizes the Small Intestine,调和小肠  
relieves abdominal pain,缓解腹痛  
borborygmus,肠鸣  
cold limbs,四肢冰冷  
regulates Qi and blood in the arm,调节手臂气血  
used for motor impairment,用于运动障碍  
numbness,麻木  
arm pain,手臂痛  
tonifies Qi and blood,补气血  
commonly used for arm pain,常用于手臂痛  
weakness,虚弱  
paralysis,瘫痪  
and gastrointestinal disorders,及胃肠疾病  
dispel wind & clear heat,祛风清热  
relieve itching,止痒  
relieve arm/elbow pain,缓解手臂/肘部疼痛  
reduce hypertension,降低高血压  
improve bowel function,改善肠道功能  
promote circulation & unblock collaterals,促进循环，疏通络脉  
relieve elbow/arm pain,缓解肘部/手臂疼痛  
spasm,痉挛  
dispel cold & damp,祛寒湿  
unblock collaterals & relieve swelling/pain,疏通络脉，缓解肿痛  
improve upper limb circulation,改善上肢循环  
treat arm weakness,治疗手臂无力  
lymph node issues,淋巴结问题  
cough with bleeding,咳嗽带血  
unblock meridians and relieve shoulder pain and numbness,疏通经络，缓解肩痛和麻木  
expel wind-damp,祛风湿  
unblock collaterals,疏通络脉  
relieve shoulder-arm pain,缓解肩臂疼痛  
neck stiffness,颈部僵硬  
unblock collaterals & stop bleeding,疏通络脉，止血  
relieve shoulder/arm pain/spasm,缓解肩臂疼痛/痉挛  
reduce phlegm/nodes,化痰，消结  
treat cough with bleeding,治疗咳嗽带血  
regulate qi & clear throat,调气，清咽喉  
reduce swelling & pain,消肿止痛  
resolve phlegm,化痰  
relieve throat pain,缓解咽喉痛  
difficulty swallowing,吞咽困难  
goiter,甲状腺肿  
regulate qi & throat,调气，益咽喉  
clear heat & relieve swelling/pain,清热，缓解肿痛  
treat cough,治疗咳嗽  
throat swelling,咽喉肿胀  
hoarseness,声音嘶哑  
expel wind & clear heat,祛风清热  
open nasal passages,开通鼻道  
treat nasal congestion,治疗鼻塞  
clear nasal passages,清鼻道  
relieve nasal congestion,缓解鼻塞  
sinusitis,鼻窦炎  
promote lung function,促进肺功能  
benefits eyes,益眼  
dispels wind-heat,祛风热  
alleviates facial paralysis.,缓解面瘫  
clears heat from the Stomach channel,清胃经热  
relieves facial swelling.,缓解面部肿胀  
relieves infraorbital pain,缓解眶下疼痛  
clears heat.,清热  
dispels wind,祛风  
benefits the mouth,益口  
relieves facial paralysis.,缓解面瘫  
regulates the jaw,调节颌部  
benefits teeth,益牙  
relieves jaw pain.,缓解颌部疼痛  
relieves jaw and facial pain,缓解颌部和面部疼痛  
calms the spirit.,镇静心神  
alleviates ear and jaw pain,缓解耳部和颌部疼痛  
treats otitis media.,治疗中耳炎  
relieves headache and dizziness.,缓解头痛和眩晕  
regulates qi and blood,调节气血  
benefits throat and neck.,益咽喉和颈部  
clears phlegm,清痰  
benefits the throat,益咽喉  
relieves cough.,缓解咳嗽  
regulates chest qi,调节胸部气机  
dissipates nodules.,散结  
benefits throat and skin,益咽喉和皮肤  
dispels lung heat.,清肺热  
unbinds chest,疏通胸部  
regulates qi,调节气机  
opens chest,开通胸部  
benefits lungs,益肺  
benefits breasts,益乳房  
alleviates mastitis.,缓解乳腺炎  
benefits eyes and ears,益眼耳  
clears wind.,清风  
landmark only,仅为标志点  
not needled.,不可针刺  
regulates breasts and lactation,调节乳房和哺乳  
relieves mastitis.,缓解乳腺炎  
regulates stomach qi,调节胃气  
relieves epigastric pain.,缓解上腹痛  
harmonizes Stomach,调和胃  
relieves fullness.,缓解胀满  
harmonizes middle jiao,调和中焦  
relieves abdominal distention.,缓解腹胀  
unbinds Ren channel,疏通任脉  
regulates digestion,调节消化  
relieves bloating.,缓解腹胀  
alleviates abdominal pain.,缓解腹痛  
relieves abdominal pain and diarrhea.,缓解腹痛和腹泻  
regulates intestines,调节肠道  
alleviates constipation and diarrhea.,缓解便秘和腹泻  
regulates Chong channel,调节冲脉  
alleviates dysmenorrhea.,缓解痛经  
relieves hernia and abdominal pain.,缓解疝气和腹痛  
regulates water passages,调节水道  
benefits urination.,益排尿  
regulates Ren channel,调节任脉  
benefits uterus,益子宫  
relieves menstrual disorders.,缓解月经疾病  
regulates lower jiao qi,调节下焦气机  
benefits hip joint,益髋关节  
relieves thigh pain.,缓解大腿痛  
regulates stomach and spleen channels in the thigh,调节大腿的胃脾经  
relieves thigh pain and paralysis,缓解大腿疼痛和瘫痪  
benefits the knee joint.,益膝关节  
regulates qi and blood of the lower limb,调节下肢气血  
alleviates pain and swelling of the inguinal region and thigh.,缓解腹股沟和大腿的疼痛和肿胀  
harmonizes Stomach channel,调和胃经  
releases stagnation,解除瘀滞  
benefits the knee,益膝  
relieves pain and swelling in the knee.,缓解膝部疼痛和肿胀  
clears heat from the knee,清膝部热  
alleviates knee pain and immobility.,缓解膝痛和活动受限  
regulate spleen/stomach,调脾胃  
improve digestion,改善消化  
treat gastritis,治疗胃炎  
ulcers,溃疡  
indigestion,消化不良  
constipation,便秘  
boost qi & immune function,补气，增强免疫功能  
relieve fatigue,缓解疲劳  
anti-inflammatory,抗炎  
improve insulin sensitivity and blood flow,改善胰岛素敏感性和血流  
regulates intestines and alleviates diarrhea.,调节肠道，缓解腹泻  
alleviates shoulder pain and improves shoulder mobility.,缓解肩痛，改善肩部活动  
regulates small intestine qi and relieves abdominal discomfort.,调节小肠气，缓解腹部不适  
transforms phlegm and dampness,化痰湿  
calms the mind.,镇静心神  
relieves ankle pain.,缓解踝痛  
clears heat and harmonizes the stomach channel.,清热，调和胃经  
regulates the spleen and dispels dampness.,调节脾脏，祛湿  
clears stomach heat,清胃热  
restores consciousness.,恢复意识  
regulates the spleen,调节脾脏  
stops bleeding.,止血  
resolves dampness and clears heat from the spleen channel.,化湿，清脾经热  
tonifies the spleen,补脾  
harmonizes the middle jiao.,调和中焦  
harmonizes the Chong channel,调和冲脉  
disperses dampness,祛湿  
supports sinews and bones.,支持筋骨  
regulates menstruation and calms the mind.,调节月经，镇静心神  
clears damp-heat,清湿热  
promotes urination.,促进排尿  
harmonizes the spleen,调和脾脏  
regulates menstruation.,调节月经  
opens and moves water passages,开通水道  
resolves dampness.,化湿  
invigorates and cools the blood,活血凉血  
dispels blood stasis.,祛瘀  
unblocks menstruation.,疏通月经  
regulates Qi in the lower jiao,调节下焦气机  
alleviates abdominal pain and hernia.,缓解腹痛和疝气  
regulates qi and alleviates abdominal pain.,调气，缓解腹痛  
regulates the intestines,调节肠道  
regulates the stomach,调节胃  
regulates the diaphragm,调节膈肌  
